Step	Time	I	E	T
30	0.0	-2.998605	2.430004	27.1
30	0.1	-2.998605	2.430004	27.1
30	0.2	-2.9987452	2.4267251	27.1
30	0.3	-2.999086	2.4261038	27.1
30	0.4	-2.999291	2.4242268	27.1
30	0.5	-2.9994237	2.4228668	27.1
30	0.6	-2.9995131	2.42172	27.1
30	0.7	-2.9995756	2.4207637	27.1
30	0.8	-2.9996214	2.419854	27.1
30	0.9	-2.9996572	2.419019	27.1
30	1.0	-2.9996884	2.4182384	27.2
30	1.1	-2.9997158	2.41754	27.2
30	1.2	-2.9997363	2.4168198	27.2
30	1.3	-2.9997537	2.4162002	27.2
30	1.4	-2.999769	2.4155579	27.2
30	1.5	-2.9997807	2.4149432	27.2
30	1.6	-2.9997907	2.4143639	27.2
30	1.7	-2.9998002	2.413771	27.2
30	1.8	-2.9998105	2.4132223	27.2
30	1.9	-2.9998183	2.4126925	27.2
30	2.0	-2.9998264	2.4121597	27.2
30	2.1	-2.9998343	2.4116626	27.2
30	2.2	-2.9998431	2.4112036	27.2
30	2.3	-2.9998488	2.4107156	27.2
30	2.4	-2.9998562	2.4102504	27.2
30	2.5	-2.999863	2.4097703	27.2
30	2.6	-2.999869	2.4093385	27.2
30	2.7	-2.9998744	2.4088862	27.2
30	2.8	-2.99988	2.408435	27.2
30	2.9	-2.9998875	2.4080229	27.2
30	3.0	-2.999893	2.4075534	27.2
30	3.1	-2.9998982	2.4071527	27.2
30	3.2	-2.9999027	2.4067616	27.2
30	3.3	-2.9999077	2.4063396	27.2
30	3.4	-2.9999113	2.4059198	27.2
30	3.5	-2.999915	2.405541	27.2
30	3.6	-2.999918	2.4051442	27.2
30	3.7	-2.9999208	2.4047694	27.2
30	3.8	-2.9999251	2.4043884	27.2
30	3.9	-2.999928	2.404044	27.2
30	4.0	-2.9999325	2.4036658	27.2
30	4.1	-2.9999354	2.4032824	27.2
30	4.2	-2.9999375	2.4029324	27.2
30	4.3	-2.9999404	2.4025798	27.2
30	4.4	-2.9999425	2.4022207	27.2
30	4.5	-2.9999454	2.4018817	27.2
30	4.6	-2.9999492	2.401516	27.2
30	4.7	-2.999954	2.401204	27.2
30	4.8	-2.9999592	2.4008813	27.2
30	4.9	-2.9999652	2.4005446	27.2
30	5.0	-2.9999695	2.400178	27.2
30	5.1	-2.999973	2.399863	27.2
30	5.2	-2.9999783	2.3995483	27.2
30	5.3	-2.9999819	2.3992343	27.2
30	5.4	-2.999985	2.398902	27.2
30	5.5	-2.999989	2.3986046	27.2
30	5.6	-2.9999928	2.3983026	27.2
30	5.7	-2.9999957	2.398001	27.2
30	5.8	-2.9999979	2.3976862	27.2
30	5.9	-3.0	2.3973937	27.2
30	6.0	-3.0000021	2.397107	27.2
30	6.1	-3.0000043	2.3968022	27.2
30	6.2	-3.0000064	2.3965127	27.2
30	6.3	-3.000008	2.396236	27.2
30	6.4	-3.000011	2.395941	27.2
30	6.5	-3.0000124	2.3956318	27.2
30	6.6	-3.0000138	2.3953586	27.2
30	6.7	-3.0000145	2.3950727	27.2
30	6.8	-3.000016	2.3947988	27.2
30	6.9	-3.0000167	2.394538	27.2
30	7.0	-3.000016	2.394242	27.2
30	7.1	-3.0000167	2.3939757	27.2
30	7.2	-3.0000174	2.3937237	27.2
30	7.3	-3.0000181	2.3934383	27.2
30	7.4	-3.0000188	2.3931653	27.2
30	7.5	-3.0000181	2.392925	27.2
30	7.6	-3.0000174	2.3926556	27.2
30	7.7	-3.000016	2.3923922	27.2
30	7.8	-3.0000174	2.3921301	27.2
30	7.9	-3.0000174	2.3918939	27.2
30	8.0	-3.000016	2.391617	27.2
30	8.1	-3.0000145	2.391383	27.2
30	8.2	-3.0000145	2.3911357	27.2
30	8.3	-3.000015	2.3908682	27.2
30	8.4	-3.000015	2.3906329	27.2
30	8.5	-3.000015	2.3904045	27.2
30	8.6	-3.000015	2.3901513	27.2
30	8.7	-3.000015	2.3899207	27.2
30	8.8	-3.000016	2.3896837	27.2
30	8.9	-3.000016	2.3894217	27.2
30	9.0	-3.000015	2.3891957	27.2
30	9.1	-3.0000145	2.3889737	27.2
30	9.2	-3.0000145	2.3887186	27.2
30	9.3	-3.0000138	2.3885014	27.2
30	9.4	-3.000013	2.3882518	27.2
30	9.5	-3.0000124	2.388063	27.2
30	9.6	-3.0000117	2.387823	27.2
30	9.7	-3.0000103	2.3876014	27.2
30	9.8	-3.0000088	2.387395	27.2
30	9.9	-3.0000072	2.3871257	27.2
30	10.0	-3.0000064	2.3869395	27.2
30	10.1	-3.0000043	2.3867052	27.2
30	10.2	-3.0000021	2.3864927	27.2
30	10.3	-3.0	2.3862977	27.2
30	10.4	-2.9999971	2.3860884	27.2
30	10.5	-2.9999957	2.385837	27.2
30	10.6	-2.9999943	2.3856337	27.4
30	10.7	-2.9999928	2.3854573	27.4
30	10.8	-2.999992	2.3852026	27.4
30	10.9	-2.9999905	2.3850298	27.4
30	11.0	-2.9999897	2.384773	27.4
30	11.1	-2.9999905	2.3845878	27.4
30	11.2	-2.9999905	2.3843758	27.4
30	11.3	-2.9999905	2.3841846	27.2
30	11.4	-2.9999897	2.383983	27.2
30	11.5	-2.9999897	2.3837874	27.2
30	11.6	-2.999992	2.3835936	27.2
30	11.7	-2.9999943	2.3833768	27.2
30	11.8	-2.9999948	2.3832004	27.2
30	11.9	-2.9999948	2.3829777	27.2
30	12.0	-2.9999971	2.3827853	27.2
30	12.1	-2.9999971	2.3825772	27.2
30	12.2	-2.9999986	2.3823988	27.2
30	12.3	-3.0	2.3821905	27.2
30	12.4	-3.0000014	2.381978	27.2
30	12.5	-3.0000007	2.3817916	27.2
30	12.6	-3.0000007	2.381589	27.2
30	12.7	-3.0000014	2.3814073	27.2
30	12.8	-3.0000021	2.3812103	27.2
30	12.9	-3.0000043	2.3809743	27.2
30	13.0	-3.0000057	2.3808203	27.2
30	13.1	-3.0000064	2.3806424	27.2
30	13.2	-3.0000072	2.3804603	27.2
30	13.3	-3.000008	2.3802598	27.2
30	13.4	-3.0000103	2.380078	27.2
30	13.5	-3.0000124	2.3798697	27.2
30	13.6	-3.000013	2.3797045	27.2
30	13.7	-3.000013	2.379536	27.2
30	13.8	-3.000013	2.379347	27.2
30	13.9	-3.000013	2.3791468	27.4
30	14.0	-3.0000138	2.3789635	27.4
30	14.1	-3.0000138	2.3787944	27.4
30	14.2	-3.0000124	2.3785832	27.4
30	14.3	-3.000011	2.3784106	27.4
30	14.4	-3.000011	2.378261	27.4
30	14.5	-3.0000095	2.3780658	27.4
30	14.6	-3.0000095	2.377874	27.4
30	14.7	-3.0000095	2.3776922	27.4
30	14.8	-3.0000095	2.377532	27.4
30	14.9	-3.0000095	2.3773732	27.4
30	15.0	-3.0000103	2.377177	27.4
30	15.1	-3.000011	2.377	27.2
30	15.2	-3.0000124	2.376836	27.2
30	15.3	-3.000013	2.3766665	27.2
