Step	Time	I	E	T
15	0.0	-2.997236	2.542607	29.8
15	0.1	-2.997236	2.542607	29.8
15	0.2	-2.9977322	2.5407696	29.8
15	0.3	-2.9984305	2.5398226	29.8
15	0.4	-2.9987917	2.5380754	29.8
15	0.5	-2.9990053	2.5368197	29.8
15	0.6	-2.999144	2.5358055	29.8
15	0.7	-2.9992473	2.5349195	29.8
15	0.8	-2.9993258	2.534083	29.8
15	0.9	-2.9993854	2.533284	29.8
15	1.0	-2.9994326	2.5325763	29.8
15	1.1	-2.9994702	2.5318897	29.8
15	1.2	-2.9995036	2.5312345	29.8
15	1.3	-2.9995313	2.5306253	29.8
15	1.4	-2.999554	2.5299804	29.8
15	1.5	-2.9995728	2.52939	29.8
15	1.6	-2.9995923	2.5288265	29.8
15	1.7	-2.9996097	2.5283043	29.8
15	1.8	-2.9996266	2.5277681	29.8
15	1.9	-2.999642	2.5272672	29.8
15	2.0	-2.999654	2.5267532	29.8
15	2.1	-2.9996665	2.5262432	30.0
15	2.2	-2.9996781	2.525768	30.0
15	2.3	-2.999689	2.525304	30.0
15	2.4	-2.999699	2.5248246	30.0
15	2.5	-2.9997087	2.5243652	30.0
15	2.6	-2.9997182	2.5239418	30.0
15	2.7	-2.9997268	2.523545	30.0
15	2.8	-2.9997356	2.5230548	30.0
15	2.9	-2.9997442	2.52269	30.0
15	3.0	-2.9997523	2.5222394	30.0
15	3.1	-2.9997594	2.5218318	30.0
15	3.2	-2.9997654	2.5214562	30.0
15	3.3	-2.9997718	2.5210552	29.8
15	3.4	-2.9997768	2.520629	29.8
15	3.5	-2.999782	2.5202796	29.8
15	3.6	-2.9997864	2.5198877	30.0
15	3.7	-2.9997907	2.519519	30.0
15	3.8	-2.9997966	2.519137	30.0
15	3.9	-2.9998024	2.518788	30.0
15	4.0	-2.9998066	2.518434	30.0
15	4.1	-2.9998097	2.518106	30.0
15	4.2	-2.9998126	2.5177572	30.0
15	4.3	-2.9998155	2.5173907	30.0
15	4.4	-2.9998183	2.5170166	30.0
15	4.5	-2.9998212	2.5167265	30.0
15	4.6	-2.999824	2.5163584	30.0
15	4.7	-2.9998264	2.5160422	30.0
15	4.8	-2.9998279	2.5157142	30.0
15	4.9	-2.9998293	2.5154061	30.0
15	5.0	-2.9998307	2.5150824	30.0
15	5.1	-2.999832	2.5147424	30.0
15	5.2	-2.9998329	2.5144565	30.0
15	5.3	-2.999835	2.5141597	30.0
15	5.4	-2.9998372	2.5138488	30.0
15	5.5	-2.9998364	2.5135314	30.0
15	5.6	-2.9998386	2.5132508	30.0
15	5.7	-2.9998393	2.5129259	30.0
15	5.8	-2.9998403	2.512629	30.0
