Step	Time	I	E	T
99	0.0	-2.9972165	2.251139	27.2
99	0.1	-2.9972165	2.251139	27.2
99	0.2	-2.9977236	2.2480962	27.2
99	0.3	-2.9984233	2.246697	27.2
99	0.4	-2.9987822	2.2443948	27.2
99	0.5	-2.998993	2.242889	27.2
99	0.6	-2.9991353	2.2416747	27.2
99	0.7	-2.9992356	2.2406025	27.2
99	0.8	-2.9993083	2.2396753	27.2
99	0.9	-2.9993663	2.2387562	27.2
99	1.0	-2.9994137	2.2379198	27.2
99	1.1	-2.9994528	2.2371438	27.4
99	1.2	-2.9994864	2.236406	27.4
99	1.3	-2.9995124	2.2357032	27.4
99	1.4	-2.999535	2.235008	27.4
99	1.5	-2.9995553	2.2343323	27.4
99	1.6	-2.9995735	2.2337022	27.2
99	1.7	-2.9995894	2.2330904	27.2
99	1.8	-2.999604	2.2324603	27.4
99	1.9	-2.9996164	2.2318792	27.4
99	2.0	-2.9996285	2.2312891	27.4
99	2.1	-2.9996402	2.2307382	27.2
99	2.2	-2.9996512	2.2301767	27.2
99	2.3	-2.9996614	2.2296584	27.2
99	2.4	-2.9996724	2.2291133	27.2
99	2.5	-2.9996831	2.2285974	27.2
99	2.6	-2.9996927	2.228084	27.2
99	2.7	-2.999702	2.227587	27.2
99	2.8	-2.9997094	2.2270894	27.2
99	2.9	-2.9997165	2.2265987	27.2
99	3.0	-2.999726	2.2261205	27.2
99	3.1	-2.9997349	2.2256749	27.2
99	3.2	-2.9997427	2.2252195	27.2
99	3.3	-2.9997506	2.2247546	27.2
99	3.4	-2.999758	2.2243009	27.2
99	3.5	-2.999764	2.2238655	27.2
99	3.6	-2.999769	2.2234094	27.2
99	3.7	-2.9997754	2.2229779	27.2
99	3.8	-2.9997807	2.2225432	27.2
99	3.9	-2.999785	2.2221491	27.2
99	4.0	-2.99979	2.2217422	27.2
99	4.1	-2.9997945	2.221297	27.2
99	4.2	-2.999798	2.2209108	27.2
99	4.3	-2.999803	2.2204952	27.2
99	4.4	-2.9998074	2.220137	27.2
99	4.5	-2.9998116	2.2197087	27.2
99	4.6	-2.9998155	2.2193236	27.2
99	4.7	-2.9998198	2.2189496	27.2
99	4.8	-2.9998221	2.2185638	27.2
99	4.9	-2.999825	2.218202	27.2
99	5.0	-2.9998286	2.217821	27.2
99	5.1	-2.999832	2.2174592	27.4
99	5.2	-2.9998357	2.2170973	27.4
99	5.3	-2.9998372	2.2167504	27.4
99	5.4	-2.9998393	2.2163875	27.4
99	5.5	-2.9998417	2.2160351	27.4
99	5.6	-2.9998431	2.2156808	27.4
99	5.7	-2.9998431	2.2153409	27.4
99	5.8	-2.9998438	2.2150204	27.4
99	5.9	-2.9998446	2.214657	27.4
99	6.0	-2.999846	2.2142897	27.4
99	6.1	-2.9998474	2.213985	27.2
99	6.2	-2.9998481	2.2136574	27.2
99	6.3	-2.9998496	2.2133164	27.2
99	6.4	-2.9998517	2.213002	27.2
99	6.5	-2.9998531	2.2126558	27.2
99	6.6	-2.9998546	2.212353	27.2
99	6.7	-2.9998555	2.2120187	27.2
99	6.8	-2.9998562	2.21169	27.2
99	6.9	-2.999857	2.211386	27.2
99	7.0	-2.9998577	2.2110894	27.2
99	7.1	-2.9998584	2.2107928	27.2
99	7.2	-2.999859	2.2104802	27.2
99	7.3	-2.9998612	2.2101963	27.2
99	7.4	-2.999863	2.209864	27.2
