Step	Time	I	E	T
93	0.0	-2.9980454	2.2577577	28.4
93	0.1	-2.9980454	2.2577577	28.4
93	0.2	-2.998352	2.2555978	28.4
93	0.3	-2.9988215	2.254443	28.4
93	0.4	-2.999075	2.2524705	28.4
93	0.5	-2.9992342	2.2510715	28.4
93	0.6	-2.999341	2.2499516	28.6
93	0.7	-2.9994173	2.2488956	28.6
93	0.8	-2.9994755	2.2480278	28.6
93	0.9	-2.999522	2.2472157	28.6
93	1.0	-2.999561	2.2464497	28.6
93	1.1	-2.999593	2.2457058	28.6
93	1.2	-2.99962	2.2449844	28.6
93	1.3	-2.999642	2.2442675	28.6
93	1.4	-2.9996614	2.2436302	28.6
93	1.5	-2.9996798	2.2430007	28.6
93	1.6	-2.999694	2.2424014	28.6
93	1.7	-2.9997065	2.2417917	28.6
93	1.8	-2.9997182	2.2411716	28.6
93	1.9	-2.9997296	2.2406356	28.6
93	2.0	-2.9997408	2.240055	28.4
93	2.1	-2.9997506	2.239558	28.4
93	2.2	-2.9997616	2.2390323	28.4
93	2.3	-2.9997704	2.2385051	28.4
93	2.4	-2.9997792	2.2379973	28.4
93	2.5	-2.9997878	2.2375338	28.4
93	2.6	-2.9997966	2.2370107	28.4
93	2.7	-2.9998045	2.2365232	28.4
93	2.8	-2.9998105	2.2360768	28.4
93	2.9	-2.9998176	2.2356164	28.4
93	3.0	-2.9998257	2.235166	28.4
93	3.1	-2.9998329	2.2347035	28.4
93	3.2	-2.9998403	2.234261	28.4
93	3.3	-2.999846	2.2338443	28.4
93	3.4	-2.9998517	2.23339	28.6
93	3.5	-2.9998577	2.2329562	28.6
93	3.6	-2.999862	2.232542	28.6
93	3.7	-2.9998648	2.2321384	28.6
93	3.8	-2.9998677	2.2317505	28.6
93	3.9	-2.9998715	2.2313364	28.6
93	4.0	-2.9998758	2.2309525	28.6
93	4.1	-2.9998786	2.2305515	28.6
93	4.2	-2.9998808	2.2301857	28.6
93	4.3	-2.9998832	2.2297964	28.7
93	4.4	-2.9998875	2.2294114	28.7
93	4.5	-2.9998896	2.2290668	28.7
93	4.6	-2.9998918	2.228677	28.7
93	4.7	-2.999893	2.2283487	28.7
93	4.8	-2.9998953	2.2279637	28.7
93	4.9	-2.9998968	2.2276058	28.7
93	5.0	-2.999899	2.22726	28.7
93	5.1	-2.9999003	2.2269084	28.7
93	5.2	-2.999902	2.2265491	28.7
93	5.3	-2.9999032	2.2262166	28.5
93	5.4	-2.9999056	2.2258475	28.5
93	5.5	-2.999907	2.2255282	28.5
93	5.6	-2.9999084	2.2251985	28.5
93	5.7	-2.9999099	2.2248714	28.5
93	5.8	-2.9999113	2.2245421	28.5
93	5.9	-2.9999127	2.2242265	28.5
93	6.0	-2.9999137	2.2239091	28.5
93	6.1	-2.9999137	2.2235587	28.5
93	6.2	-2.999915	2.223272	28.5
93	6.3	-2.9999166	2.2229283	28.5
93	6.4	-2.9999173	2.2226117	28.5
93	6.5	-2.9999201	2.2223332	28.5
93	6.6	-2.9999208	2.2219656	28.5
93	6.7	-2.9999208	2.2216825	28.5
93	6.8	-2.9999223	2.221349	28.5
93	6.9	-2.999923	2.2210875	28.5
93	7.0	-2.999923	2.2207775	28.5
93	7.1	-2.9999223	2.2204795	28.5
93	7.2	-2.9999223	2.2201927	28.5
93	7.3	-2.9999223	2.219911	28.5
93	7.4	-2.9999223	2.2196453	28.5
93	7.5	-2.999923	2.2193298	28.5
93	7.6	-2.999924	2.2190585	28.5
93	7.7	-2.9999244	2.2187805	28.5
93	7.8	-2.9999244	2.2184985	28.5
93	7.9	-2.9999244	2.218215	28.5
93	8.0	-2.9999251	2.21796	28.5
93	8.1	-2.9999259	2.2176833	28.5
93	8.2	-2.9999273	2.2174158	28.5
93	8.3	-2.9999287	2.2171533	28.5
93	8.4	-2.9999287	2.216883	28.5
93	8.5	-2.9999294	2.2166085	28.5
93	8.6	-2.9999309	2.2163372	28.5
93	8.7	-2.9999325	2.2160788	28.5
93	8.8	-2.9999332	2.2158067	28.5
93	8.9	-2.9999337	2.2155645	28.5
93	9.0	-2.9999337	2.2152922	28.5
93	9.1	-2.9999354	2.215053	28.5
93	9.2	-2.999936	2.214787	28.5
93	9.3	-2.999936	2.214554	28.5
93	9.4	-2.999936	2.214278	28.5
93	9.5	-2.9999368	2.2140582	28.5
