Step	Time	I	E	T
87	0.0	-2.9977512	2.2581463	27.7
87	0.1	-2.9977512	2.2581463	27.7
87	0.2	-2.9981182	2.2557306	27.7
87	0.3	-2.998663	2.2545073	27.7
87	0.4	-2.9989507	2.2524636	27.7
87	0.5	-2.9991186	2.2510512	27.7
87	0.6	-2.9992313	2.2498727	27.7
87	0.7	-2.9993112	2.2488651	27.7
87	0.8	-2.999373	2.247922	27.7
87	0.9	-2.9994237	2.2471256	27.7
87	1.0	-2.9994652	2.2462802	27.5
87	1.1	-2.999498	2.2455294	27.5
87	1.2	-2.9995248	2.2448337	27.5
87	1.3	-2.9995475	2.2441604	27.5
87	1.4	-2.999567	2.2434735	27.5
87	1.5	-2.9995873	2.2428463	27.5
87	1.6	-2.9996054	2.2421987	27.5
87	1.7	-2.9996192	2.2416372	27.4
87	1.8	-2.999631	2.2410734	27.4
87	1.9	-2.999642	2.240463	27.4
87	2.0	-2.9996505	2.2399237	27.4
87	2.1	-2.999659	2.2393823	27.4
87	2.2	-2.9996686	2.238854	27.4
87	2.3	-2.9996767	2.238307	27.4
87	2.4	-2.9996846	2.2377982	27.4
87	2.5	-2.999692	2.2373095	27.4
87	2.6	-2.999699	2.2367957	27.4
87	2.7	-2.9997072	2.2363455	27.4
87	2.8	-2.9997158	2.2358472	27.4
87	2.9	-2.999724	2.2353914	27.6
87	3.0	-2.9997306	2.2349277	27.6
87	3.1	-2.999737	2.2344627	27.6
87	3.2	-2.9997427	2.234052	27.6
87	3.3	-2.999747	2.2336311	27.6
87	3.4	-2.999753	2.2332304	27.6
87	3.5	-2.999758	2.2327633	27.6
87	3.6	-2.999763	2.2323322	27.6
87	3.7	-2.9997675	2.2319405	27.6
87	3.8	-2.9997725	2.2315402	27.6
87	3.9	-2.9997768	2.231087	27.6
87	4.0	-2.9997811	2.2307167	27.6
87	4.1	-2.9997857	2.2303355	27.6
87	4.2	-2.9997892	2.2299416	27.6
87	4.3	-2.9997928	2.2295678	27.6
87	4.4	-2.999796	2.229202	27.6
87	4.5	-2.9997988	2.2288156	27.6
87	4.6	-2.9998002	2.2284594	27.6
87	4.7	-2.9998019	2.2280903	27.6
87	4.8	-2.9998038	2.2277215	27.6
87	4.9	-2.9998052	2.2273824	27.4
87	5.0	-2.9998074	2.227036	27.4
87	5.1	-2.9998112	2.2266557	27.6
87	5.2	-2.999814	2.2263126	27.6
87	5.3	-2.999817	2.2259953	27.4
87	5.4	-2.9998183	2.2256377	27.4
87	5.5	-2.9998205	2.2252946	27.4
87	5.6	-2.9998212	2.2249978	27.4
87	5.7	-2.9998221	2.2246616	27.4
87	5.8	-2.999825	2.2243516	27.4
87	5.9	-2.9998271	2.2240224	27.4
87	6.0	-2.9998279	2.2236814	27.4
87	6.1	-2.9998286	2.2233715	27.5
87	6.2	-2.9998293	2.2230203	27.5
87	6.3	-2.9998314	2.222714	27.5
87	6.4	-2.9998336	2.2224221	27.5
87	6.5	-2.999835	2.2221303	27.5
87	6.6	-2.999835	2.2218091	27.5
87	6.7	-2.9998357	2.2215023	27.7
87	6.8	-2.9998364	2.221228	27.7
87	6.9	-2.9998386	2.2209156	27.7
87	7.0	-2.9998417	2.2206097	27.7
