Step	Time	I	E	T
108	0.0	-2.9977853	2.1727107	28.6
108	0.1	-2.9977853	2.1727107	28.6
108	0.2	-2.9981399	2.170292	28.6
108	0.3	-2.9986696	2.1691096	28.6
108	0.4	-2.9989567	2.1670702	28.6
108	0.5	-2.9991238	2.165661	28.6
108	0.6	-2.9992335	2.1644976	28.6
108	0.7	-2.9993136	2.1635134	28.6
108	0.8	-2.9993758	2.1626415	28.6
108	0.9	-2.9994254	2.1617799	28.6
108	1.0	-2.9994638	2.1610374	28.6
108	1.1	-2.999495	2.1602855	28.6
108	1.2	-2.9995213	2.1595678	28.6
108	1.3	-2.9995444	2.1589327	28.4
108	1.4	-2.999564	2.158268	28.4
108	1.5	-2.9995809	2.1576715	28.4
108	1.6	-2.9995952	2.157043	28.6
108	1.7	-2.9996076	2.1564715	28.6
108	1.8	-2.9996188	2.1559246	28.6
108	1.9	-2.9996285	2.1553802	28.6
108	2.0	-2.999639	2.1548402	28.6
108	2.1	-2.9996483	2.1542885	28.6
108	2.2	-2.9996579	2.1537998	28.6
108	2.3	-2.9996672	2.153282	28.6
108	2.4	-2.9996753	2.1527808	28.6
108	2.5	-2.9996839	2.1523278	28.6
108	2.6	-2.999692	2.1518404	28.6
108	2.7	-2.9997	2.15137	28.6
108	2.8	-2.9997065	2.1508923	28.6
108	2.9	-2.9997137	2.150472	28.6
108	3.0	-2.9997218	2.1499808	28.6
108	3.1	-2.9997296	2.1495988	28.6
108	3.2	-2.9997356	2.149166	28.6
108	3.3	-2.999742	2.1487398	28.6
108	3.4	-2.999747	2.1482995	28.6
108	3.5	-2.999753	2.1479259	28.6
108	3.6	-2.9997587	2.1475232	28.6
108	3.7	-2.999763	2.1471035	28.6
108	3.8	-2.9997683	2.1467373	28.6
108	3.9	-2.9997725	2.1463594	28.6
108	4.0	-2.9997768	2.1459482	28.6
108	4.1	-2.9997811	2.1456017	28.6
108	4.2	-2.9997835	2.1451948	28.6
108	4.3	-2.999785	2.144834	28.6
108	4.4	-2.9997878	2.1444697	28.6
108	4.5	-2.99979	2.1441097	28.6
108	4.6	-2.999792	2.14376	28.6
108	4.7	-2.999796	2.1434166	28.6
108	4.8	-2.9997995	2.143095	28.6
108	4.9	-2.9998038	2.1427288	28.6
108	5.0	-2.999806	2.1423867	28.6
108	5.1	-2.9998074	2.1420276	28.6
108	5.2	-2.9998088	2.1417103	28.6
108	5.3	-2.9998112	2.1413846	28.6
108	5.4	-2.9998147	2.1410515	28.6
108	5.5	-2.999817	2.140716	28.6
108	5.6	-2.9998183	2.1404085	28.6
108	5.7	-2.9998198	2.1400714	28.6
108	5.8	-2.9998212	2.139763	28.6
108	5.9	-2.9998226	2.1394756	28.6
108	6.0	-2.9998271	2.1391575	28.6
108	6.1	-2.9998286	2.1388652	28.6
108	6.2	-2.9998293	2.13856	28.6
108	6.3	-2.99983	2.1382287	28.6
108	6.4	-2.9998307	2.1379573	28.6
108	6.5	-2.999832	2.1376631	28.6
108	6.6	-2.9998343	2.1373482	28.6
108	6.7	-2.9998364	2.1370878	28.6
108	6.8	-2.9998379	2.1367924	28.6
108	6.9	-2.9998386	2.1365216	28.6
108	7.0	-2.9998417	2.1362329	28.6
108	7.1	-2.9998446	2.135954	28.6
108	7.2	-2.9998474	2.135676	28.6
108	7.3	-2.999851	2.1353853	28.6
108	7.4	-2.9998531	2.1351192	28.6
108	7.5	-2.9998546	2.1348479	28.6
108	7.6	-2.9998562	2.1345725	28.6
108	7.7	-2.9998584	2.134336	28.6
108	7.8	-2.999863	2.1340487	28.6
108	7.9	-2.9998662	2.133792	28.6
108	8.0	-2.999869	2.133548	28.6
108	8.1	-2.9998727	2.1332743	28.6
108	8.2	-2.9998758	2.1330087	28.6
108	8.3	-2.9998786	2.1327646	28.6
108	8.4	-2.9998808	2.1324975	28.6
108	8.5	-2.9998837	2.1322463	28.6
108	8.6	-2.999886	2.1319923	28.6
108	8.7	-2.9998882	2.1317523	28.6
108	8.8	-2.9998903	2.1315112	28.6
108	8.9	-2.999893	2.131272	28.6
108	9.0	-2.999896	2.1310177	28.6
108	9.1	-2.9998996	2.1307974	28.6
108	9.2	-2.9999032	2.1305504	28.6
108	9.3	-2.9999063	2.1303086	28.6
108	9.4	-2.9999092	2.1300876	28.6
108	9.5	-2.9999127	2.1298654	28.6
108	9.6	-2.9999156	2.1296227	28.6
108	9.7	-2.9999194	2.129381	28.6
108	9.8	-2.9999223	2.1291897	28.6
108	9.9	-2.9999259	2.1289237	28.6
108	10.0	-2.9999287	2.128701	28.6
108	10.1	-2.9999309	2.128498	28.6
108	10.2	-2.9999332	2.1282518	28.6
108	10.3	-2.9999337	2.1280565	28.6
108	10.4	-2.9999354	2.127815	28.6
108	10.5	-2.9999368	2.1276038	28.6
108	10.6	-2.9999368	2.1273851	28.6
108	10.7	-2.9999368	2.127172	28.6
108	10.8	-2.9999375	2.1269536	28.6
108	10.9	-2.9999375	2.1266997	28.6
108	11.0	-2.9999375	2.1265132	28.6
108	11.1	-2.999939	2.1263118	28.6
108	11.2	-2.9999397	2.1261084	28.6
108	11.3	-2.9999397	2.1258783	28.6
