Step	Time	I	E	T
9	0.0	-2.997802	2.5908842	29.9
9	0.1	-2.997802	2.5908842	29.9
9	0.2	-2.998142	2.589115	29.9
9	0.3	-2.998655	2.5881395	29.9
9	0.4	-2.9989297	2.5863392	29.9
9	0.5	-2.9990976	2.5850606	29.9
9	0.6	-2.9992123	2.5839787	29.9
9	0.7	-2.9992924	2.5830276	29.9
9	0.8	-2.999357	2.5821524	29.9
9	0.9	-2.9994085	2.581334	29.9
9	1.0	-2.9994485	2.5805984	29.9
9	1.1	-2.9994848	2.579867	29.9
9	1.2	-2.9995146	2.5791955	29.7
9	1.3	-2.9995387	2.5785344	29.7
9	1.4	-2.999559	2.5779142	29.7
9	1.5	-2.9995763	2.577327	29.7
9	1.6	-2.9995909	2.5767124	29.7
9	1.7	-2.9996047	2.576125	29.7
9	1.8	-2.9996164	2.5755868	29.7
9	1.9	-2.9996266	2.575046	29.7
9	2.0	-2.999636	2.5745294	29.7
9	2.1	-2.9996448	2.5740051	29.7
9	2.2	-2.9996533	2.573484	29.7
9	2.3	-2.9996607	2.5730097	29.7
9	2.4	-2.9996696	2.5725539	29.9
9	2.5	-2.9996767	2.5720623	29.9
9	2.6	-2.9996846	2.5716224	29.9
9	2.7	-2.9996927	2.5711346	29.7
9	2.8	-2.9997005	2.570713	29.7
9	2.9	-2.9997087	2.570295	29.9
9	3.0	-2.9997165	2.5698671	29.9
9	3.1	-2.9997232	2.5694182	29.7
9	3.2	-2.999731	2.5690224	29.7
9	3.3	-2.9997377	2.5686083	29.7
9	3.4	-2.9997435	2.5682	29.7
9	3.5	-2.9997494	2.5677974	29.7
9	3.6	-2.9997551	2.5674222	29.7
9	3.7	-2.9997616	2.5670364	29.7
9	3.8	-2.9997675	2.566625	29.7
9	3.9	-2.9997709	2.5662794	29.7
9	4.0	-2.9997754	2.56591	29.7
9	4.1	-2.9997792	2.565543	29.7
9	4.2	-2.9997835	2.5651987	29.7
9	4.3	-2.9997885	2.5648503	29.7
9	4.4	-2.9997935	2.5644805	29.7
9	4.5	-2.999798	2.5641136	29.9
9	4.6	-2.999803	2.5638096	29.9
9	4.7	-2.9998066	2.56346	29.9
9	4.8	-2.9998097	2.563116	29.9
9	4.9	-2.9998126	2.5627632	29.9
9	5.0	-2.9998155	2.562421	29.9
9	5.1	-2.999819	2.5621004	29.7
9	5.2	-2.9998233	2.5618107	29.7
9	5.3	-2.9998264	2.5614586	29.9
9	5.4	-2.9998286	2.561143	29.9
9	5.5	-2.9998314	2.560854	29.9
9	5.6	-2.9998336	2.5605373	29.9
9	5.7	-2.9998372	2.5602238	29.9
9	5.8	-2.999841	2.5599117	29.9
9	5.9	-2.9998438	2.5596251	29.9
9	6.0	-2.9998453	2.5593054	29.9
9	6.1	-2.9998481	2.559031	29.9
9	6.2	-2.9998503	2.5587149	29.9
9	6.3	-2.9998527	2.5584538	29.9
9	6.4	-2.9998546	2.558168	29.9
9	6.5	-2.9998562	2.557895	29.9
9	6.6	-2.9998577	2.5576322	29.9
9	6.7	-2.999859	2.5573177	29.9
9	6.8	-2.9998612	2.5570538	29.9
9	6.9	-2.999862	2.5567453	29.9
9	7.0	-2.999863	2.5564842	29.9
9	7.1	-2.999864	2.5562274	29.9
9	7.2	-2.9998655	2.55598	29.9
9	7.3	-2.999867	2.5556853	29.9
9	7.4	-2.9998677	2.5554397	29.9
9	7.5	-2.9998684	2.5551739	29.9
9	7.6	-2.999869	2.5549297	29.9
9	7.7	-2.9998698	2.5546513	29.9
9	7.8	-2.9998715	2.554403	29.9
9	7.9	-2.9998715	2.5541537	29.9
9	8.0	-2.9998727	2.5538962	29.9
9	8.1	-2.9998744	2.553641	29.9
9	8.2	-2.9998744	2.553373	29.9
9	8.3	-2.9998736	2.5531254	29.9
9	8.4	-2.9998736	2.5529146	29.9
9	8.5	-2.9998727	2.5526521	29.9
9	8.6	-2.9998715	2.5524108	29.9
9	8.7	-2.9998715	2.552154	29.9
9	8.8	-2.9998722	2.5519369	29.9
9	8.9	-2.9998727	2.5517035	29.8
9	9.0	-2.9998727	2.5514913	29.8
9	9.1	-2.9998736	2.5512216	29.8
9	9.2	-2.9998736	2.5510104	29.8
9	9.3	-2.9998736	2.5508	29.8
9	9.4	-2.9998736	2.5505636	29.8
9	9.5	-2.9998736	2.550323	29.8
9	9.6	-2.9998736	2.5501041	29.8
9	9.7	-2.9998736	2.5498846	29.8
9	9.8	-2.9998727	2.5496662	29.8
9	9.9	-2.9998736	2.5494483	29.8
9	10.0	-2.9998727	2.5492187	29.8
9	10.1	-2.9998715	2.5490365	29.8
9	10.2	-2.9998698	2.5487986	29.8
9	10.3	-2.9998698	2.548566	29.8
9	10.4	-2.999869	2.5483637	29.8
9	10.5	-2.9998677	2.5481205	29.7
9	10.6	-2.9998662	2.5479078	29.7
9	10.7	-2.9998655	2.547697	29.7
9	10.8	-2.9998648	2.5475252	29.7
9	10.9	-2.999864	2.5472605	29.7
9	11.0	-2.9998634	2.5470686	29.7
9	11.1	-2.999862	2.546882	29.9
9	11.2	-2.9998598	2.5466833	29.9
9	11.3	-2.9998577	2.546446	29.9
9	11.4	-2.9998555	2.5462632	29.9
9	11.5	-2.9998538	2.5460496	29.9
9	11.6	-2.9998527	2.545855	29.9
9	11.7	-2.9998496	2.545642	29.9
9	11.8	-2.9998481	2.5454433	29.9
9	11.9	-2.999846	2.545251	29.9
9	12.0	-2.9998446	2.5450969	29.9
9	12.1	-2.9998431	2.5448515	29.9
9	12.2	-2.9998393	2.5446289	29.7
9	12.3	-2.9998372	2.5444665	29.7
9	12.4	-2.999835	2.544299	29.7
9	12.5	-2.9998329	2.5441217	29.7
9	12.6	-2.9998314	2.5439126	29.7
9	12.7	-2.99983	2.5437334	29.9
9	12.8	-2.9998293	2.5435238	29.9
9	12.9	-2.9998286	2.5433428	29.9
9	13.0	-2.9998264	2.5431092	29.9
9	13.1	-2.999824	2.5429692	29.9
9	13.2	-2.9998226	2.5427773	29.9
9	13.3	-2.9998221	2.5426	29.9
9	13.4	-2.9998221	2.5424123	29.9
9	13.5	-2.9998212	2.542235	29.9
9	13.6	-2.9998212	2.542056	29.9
9	13.7	-2.9998212	2.5418668	29.9
9	13.8	-2.9998212	2.541677	29.9
