Step	Time	I	E	T
18	0.0	-2.9983158	2.5193121	29.8
18	0.1	-2.9983158	2.5193121	29.8
18	0.2	-2.9985576	2.517911	29.8
18	0.3	-2.9989383	2.5170379	29.8
18	0.4	-2.9991508	2.51542	29.8
18	0.5	-2.9992785	2.5142386	29.8
18	0.6	-2.9993715	2.513208	29.8
18	0.7	-2.9994361	2.5123456	29.8
18	0.8	-2.9994855	2.511483	29.8
18	0.9	-2.999524	2.5106945	29.8
18	1.0	-2.999556	2.510035	29.8
18	1.1	-2.9995823	2.5093436	29.8
18	1.2	-2.9996011	2.5086908	29.8
18	1.3	-2.9996192	2.5080938	29.8
18	1.4	-2.9996374	2.5074666	29.8
18	1.5	-2.9996526	2.5069258	29.8
18	1.6	-2.9996643	2.506359	29.8
18	1.7	-2.9996738	2.5057912	29.8
18	1.8	-2.9996824	2.5052772	29.8
18	1.9	-2.9996905	2.5047743	29.8
18	2.0	-2.999697	2.5042696	29.8
18	2.1	-2.9997044	2.5037827	29.8
18	2.2	-2.9997122	2.5033376	29.8
18	2.3	-2.9997196	2.502843	29.8
18	2.4	-2.9997268	2.5024273	29.8
18	2.5	-2.9997342	2.5019429	29.8
18	2.6	-2.99974	2.5015173	29.8
18	2.7	-2.9997456	2.5011065	29.8
18	2.8	-2.9997506	2.5006976	29.8
18	2.9	-2.9997551	2.500283	29.8
18	3.0	-2.9997602	2.4998503	29.9
18	3.1	-2.9997647	2.499414	29.9
18	3.2	-2.9997683	2.4990652	29.9
18	3.3	-2.9997725	2.4986868	29.9
18	3.4	-2.9997761	2.4982831	29.9
18	3.5	-2.9997792	2.4979215	29.9
18	3.6	-2.9997828	2.4975562	29.9
18	3.7	-2.9997864	2.4971673	29.9
18	3.8	-2.9997885	2.4968054	29.9
18	3.9	-2.9997916	2.4964385	29.9
18	4.0	-2.9997945	2.4960914	29.9
18	4.1	-2.999796	2.4957638	29.9
18	4.2	-2.9997973	2.4953654	29.9
18	4.3	-2.9997988	2.4950547	29.9
18	4.4	-2.9998002	2.494731	29.9
18	4.5	-2.9998024	2.4943936	29.9
18	4.6	-2.9998024	2.4940526	29.9
18	4.7	-2.9998019	2.4937475	29.9
18	4.8	-2.999803	2.4934149	29.9
18	4.9	-2.9998045	2.4930604	29.9
18	5.0	-2.9998052	2.4927974	29.9
18	5.1	-2.999806	2.492473	29.9
18	5.2	-2.9998045	2.4921362	29.9
18	5.3	-2.999803	2.4918349	29.9
18	5.4	-2.9998024	2.4915078	29.9
18	5.5	-2.9998019	2.4912431	29.9
18	5.6	-2.9998019	2.490947	29.9
18	5.7	-2.9998019	2.4906368	29.9
18	5.8	-2.999801	2.4903367	29.9
18	5.9	-2.9997995	2.49002	29.9
18	6.0	-2.9997995	2.4897761	29.9
18	6.1	-2.999801	2.4894743	29.9
18	6.2	-2.999803	2.4891925	29.9
18	6.3	-2.999803	2.4889264	29.9
18	6.4	-2.9998024	2.4886596	29.9
18	6.5	-2.9998024	2.4884005	29.9
18	6.6	-2.9998024	2.4880962	29.9
18	6.7	-2.9998019	2.4878151	29.9
18	6.8	-2.9998019	2.487563	29.9
18	6.9	-2.9998019	2.4872782	29.9
18	7.0	-2.9998019	2.4870555	29.9
18	7.1	-2.999803	2.4867535	29.9
18	7.2	-2.9998045	2.4865177	29.9
18	7.3	-2.9998052	2.4862695	29.9
18	7.4	-2.999808	2.4860055	29.9
18	7.5	-2.9998105	2.4857225	29.9
18	7.6	-2.9998133	2.4855046	29.9
18	7.7	-2.9998155	2.48526	29.9
18	7.8	-2.999817	2.4849894	29.9
18	7.9	-2.9998183	2.4847417	29.9
18	8.0	-2.9998183	2.4844892	29.9
18	8.1	-2.999819	2.484252	29.9
18	8.2	-2.9998198	2.484023	29.9
18	8.3	-2.9998212	2.4837923	29.9
18	8.4	-2.9998226	2.4835467	29.9
18	8.5	-2.9998233	2.483298	29.9
18	8.6	-2.999825	2.483075	29.9
18	8.7	-2.9998271	2.4828234	29.9
18	8.8	-2.9998279	2.48262	29.9
18	8.9	-2.9998293	2.482382	29.9
18	9.0	-2.9998307	2.4821477	29.9
18	9.1	-2.9998314	2.481912	29.9
18	9.2	-2.9998329	2.4817016	29.9
18	9.3	-2.9998336	2.4814618	29.9
18	9.4	-2.9998336	2.4812644	29.9
18	9.5	-2.9998343	2.4810174	29.9
18	9.6	-2.999835	2.4807987	29.9
18	9.7	-2.999835	2.4805777	29.9
18	9.8	-2.9998336	2.4803617	29.9
18	9.9	-2.9998329	2.4801974	29.9
18	10.0	-2.9998336	2.4799879	29.9
18	10.1	-2.9998343	2.4797912	29.9
18	10.2	-2.9998357	2.4795818	29.9
18	10.3	-2.999835	2.4793768	29.9
18	10.4	-2.9998357	2.4791772	29.7
18	10.5	-2.9998364	2.4789617	29.7
18	10.6	-2.9998364	2.4787261	29.9
18	10.7	-2.9998357	2.4785457	29.9
18	10.8	-2.9998357	2.4783494	29.9
18	10.9	-2.9998357	2.4781363	29.7
18	11.0	-2.9998357	2.4779274	29.7
18	11.1	-2.9998357	2.4777362	29.7
18	11.2	-2.999835	2.4775465	29.7
18	11.3	-2.9998343	2.4773347	29.9
18	11.4	-2.9998343	2.4771414	29.9
18	11.5	-2.9998343	2.4769273	29.9
18	11.6	-2.9998343	2.4767375	29.9
18	11.7	-2.9998357	2.4765568	29.9
18	11.8	-2.9998364	2.4763076	29.9
18	11.9	-2.9998364	2.4761724	29.9
18	12.0	-2.9998372	2.4759424	29.9
18	12.1	-2.9998364	2.4757893	29.9
