Step	Time	I	E	T
27	0.0	-2.9984202	2.4510593	28.0
27	0.1	-2.9984202	2.4510593	28.0
27	0.2	-2.9985752	2.4478126	28.0
27	0.3	-2.998956	2.4472365	28.0
27	0.4	-2.9991689	2.44542	28.0
27	0.5	-2.9993076	2.4440875	27.8
27	0.6	-2.9994047	2.4429593	27.8
27	0.7	-2.999473	2.4420094	27.8
27	0.8	-2.9995248	2.4411156	27.8
27	0.9	-2.9995656	2.4403284	28.0
27	1.0	-2.999598	2.4395626	28.0
27	1.1	-2.9996266	2.4388611	28.0
27	1.2	-2.9996476	2.4381611	28.0
27	1.3	-2.999665	2.437516	28.0
27	1.4	-2.9996831	2.4369056	27.8
27	1.5	-2.9997	2.43632	27.8
27	1.6	-2.9997137	2.4357278	27.8
27	1.7	-2.9997246	2.4351707	28.0
27	1.8	-2.9997356	2.434604	28.0
27	1.9	-2.9997456	2.4340913	28.0
27	2.0	-2.9997551	2.4335957	28.0
27	2.1	-2.999763	2.4330611	27.8
27	2.2	-2.9997709	2.4325817	27.8
27	2.3	-2.9997783	2.4321158	28.0
27	2.4	-2.999785	2.4316387	28.0
27	2.5	-2.9997916	2.431205	28.0
27	2.6	-2.9997995	2.4307323	28.0
27	2.7	-2.9998074	2.4302917	28.0
27	2.8	-2.9998147	2.429849	28.0
27	2.9	-2.9998205	2.4294565	27.8
27	3.0	-2.999825	2.42902	27.8
27	3.1	-2.9998307	2.4286046	27.8
27	3.2	-2.9998372	2.4281983	27.8
27	3.3	-2.9998422	2.427798	27.8
27	3.4	-2.9998474	2.4274075	27.8
27	3.5	-2.9998527	2.4269745	27.8
27	3.6	-2.9998577	2.4266343	27.8
27	3.7	-2.999862	2.4262617	27.8
27	3.8	-2.9998634	2.4258926	27.8
27	3.9	-2.9998662	2.4255044	27.8
27	4.0	-2.999869	2.4251423	27.8
27	4.1	-2.9998715	2.4247947	27.8
27	4.2	-2.9998727	2.424441	27.8
27	4.3	-2.9998758	2.4241028	27.8
27	4.4	-2.9998786	2.423776	27.8
27	4.5	-2.9998815	2.4234247	27.8
27	4.6	-2.9998832	2.4230835	27.8
27	4.7	-2.999885	2.4227433	27.8
27	4.8	-2.9998868	2.4223661	27.8
27	4.9	-2.9998882	2.4220736	27.8
27	5.0	-2.9998896	2.421743	27.8
27	5.1	-2.9998903	2.4214604	27.8
27	5.2	-2.9998903	2.4211407	27.8
27	5.3	-2.9998903	2.4208355	27.8
27	5.4	-2.9998918	2.4205134	27.8
27	5.5	-2.9998925	2.4201825	28.0
27	5.6	-2.999893	2.4198937	28.0
27	5.7	-2.999893	2.419564	27.8
27	5.8	-2.9998925	2.4192476	27.8
27	5.9	-2.9998925	2.4189746	27.8
27	6.0	-2.9998918	2.4186876	27.8
27	6.1	-2.9998903	2.4184175	28.0
27	6.2	-2.9998896	2.4180987	28.0
27	6.3	-2.9998896	2.417837	28.0
27	6.4	-2.9998882	2.4175518	27.8
27	6.5	-2.9998875	2.4172769	27.8
27	6.6	-2.999886	2.4169757	27.8
27	6.7	-2.999885	2.4166653	27.8
27	6.8	-2.9998844	2.4164207	27.8
27	6.9	-2.9998815	2.4161239	27.8
27	7.0	-2.9998786	2.415866	27.8
27	7.1	-2.9998765	2.415595	27.8
27	7.2	-2.9998744	2.415333	27.8
27	7.3	-2.9998715	2.4150836	27.8
27	7.4	-2.9998684	2.4148362	27.8
27	7.5	-2.999867	2.4145653	27.8
27	7.6	-2.9998648	2.4143155	28.0
27	7.7	-2.999864	2.4140227	28.0
27	7.8	-2.9998634	2.4137733	27.8
27	7.9	-2.999863	2.413525	27.8
27	8.0	-2.999862	2.4132562	27.8
