Step	Time	I	E	T
21	0.0	-2.9979038	2.4983633	30.1
21	0.1	-2.9979038	2.4983633	30.1
21	0.2	-2.9982722	2.4967694	30.1
21	0.3	-2.9988046	2.4958873	30.1
21	0.4	-2.999088	2.4942312	30.1
21	0.5	-2.9992595	2.4930491	30.1
21	0.6	-2.9993722	2.4920158	30.1
21	0.7	-2.999452	2.4911075	30.1
21	0.8	-2.9995131	2.49031	30.1
21	0.9	-2.9995596	2.4895396	30.1
21	1.0	-2.9995975	2.4888737	30.1
21	1.1	-2.9996302	2.488178	30.1
21	1.2	-2.9996572	2.487529	30.1
21	1.3	-2.9996798	2.4868834	30.1
21	1.4	-2.9996984	2.4863427	30.1
21	1.5	-2.9997158	2.4857755	30.1
21	1.6	-2.9997296	2.4852293	30.1
21	1.7	-2.9997427	2.484659	30.1
21	1.8	-2.9997544	2.4841692	30.1
21	1.9	-2.9997647	2.4836853	30.1
21	2.0	-2.9997747	2.4831753	30.1
21	2.1	-2.9997857	2.4827273	30.1
21	2.2	-2.9997973	2.482251	30.1
21	2.3	-2.9998074	2.4818053	30.1
21	2.4	-2.999817	2.4813225	30.1
21	2.5	-2.9998257	2.480889	30.1
21	2.6	-2.9998336	2.4804688	30.1
21	2.7	-2.9998417	2.4800348	30.1
21	2.8	-2.9998496	2.4796085	30.1
21	2.9	-2.999857	2.4792218	30.1
21	3.0	-2.9998634	2.4788134	30.1
21	3.1	-2.999869	2.4783926	30.1
21	3.2	-2.9998744	2.4780254	30.1
21	3.3	-2.9998794	2.4776344	30.1
21	3.4	-2.9998844	2.4772427	30.1
21	3.5	-2.999889	2.4768877	30.1
21	3.6	-2.9998925	2.4764922	30.1
21	3.7	-2.9998953	2.4761527	30.1
21	3.8	-2.999899	2.4757724	30.1
21	3.9	-2.9999027	2.4754386	30.1
21	4.0	-2.999907	2.4750948	30.1
21	4.1	-2.9999113	2.4747455	30.1
21	4.2	-2.9999137	2.4743822	30.1
21	4.3	-2.9999166	2.4740455	30.1
21	4.4	-2.9999194	2.4737403	30.1
21	4.5	-2.9999216	2.473399	30.1
21	4.6	-2.9999244	2.473069	30.1
21	4.7	-2.9999266	2.472708	30.1
21	4.8	-2.9999294	2.4724102	30.1
21	4.9	-2.9999309	2.472106	30.1
21	5.0	-2.9999325	2.4717822	30.1
21	5.1	-2.9999337	2.471481	30.1
21	5.2	-2.9999347	2.471151	30.1
21	5.3	-2.999936	2.4708762	30.1
21	5.4	-2.999939	2.4705591	30.1
21	5.5	-2.9999404	2.47032	30.1
21	5.6	-2.9999404	2.4699874	30.1
21	5.7	-2.9999404	2.469692	30.1
21	5.8	-2.9999404	2.4693687	30.1
21	5.9	-2.9999418	2.4690895	30.1
21	6.0	-2.9999418	2.468841	30.1
21	6.1	-2.9999418	2.4685535	30.1
21	6.2	-2.9999418	2.4682791	30.1
21	6.3	-2.9999418	2.4679909	30.1
21	6.4	-2.999941	2.4677217	30.1
21	6.5	-2.999941	2.4674363	30.1
21	6.6	-2.9999404	2.4671645	30.1
21	6.7	-2.999941	2.4669228	30.1
21	6.8	-2.999941	2.466636	30.1
21	6.9	-2.999941	2.4663754	30.1
