Step	Time	I	E	T
78	0.0	-2.998153	2.2637427	29.5
78	0.1	-2.998153	2.2637427	29.5
78	0.2	-2.9984262	2.2619877	29.5
78	0.3	-2.9988534	2.260982	29.5
78	0.4	-2.9990888	2.2592273	29.5
78	0.5	-2.999235	2.2579103	29.5
78	0.6	-2.999333	2.2568834	29.5
78	0.7	-2.999402	2.2559538	29.5
78	0.8	-2.999455	2.255105	29.5
78	0.9	-2.9994957	2.2542846	29.5
78	1.0	-2.9995284	2.2535298	29.5
78	1.1	-2.9995553	2.2528064	29.5
78	1.2	-2.9995756	2.2521653	29.5
78	1.3	-2.9995937	2.2514977	29.5
78	1.4	-2.9996104	2.2508602	29.5
78	1.5	-2.9996243	2.2503033	29.5
78	1.6	-2.9996367	2.2496784	29.5
78	1.7	-2.9996483	2.2491403	29.5
78	1.8	-2.9996579	2.248571	29.5
78	1.9	-2.9996657	2.2480536	29.5
78	2.0	-2.9996738	2.2475126	29.5
78	2.1	-2.999681	2.2469923	29.5
78	2.2	-2.9996896	2.246491	29.5
78	2.3	-2.9996984	2.2460089	29.5
78	2.4	-2.999705	2.2455492	29.5
78	2.5	-2.9997108	2.2450366	29.5
78	2.6	-2.9997158	2.2445636	29.5
78	2.7	-2.9997218	2.2441294	29.5
78	2.8	-2.999726	2.2436728	29.5
78	2.9	-2.9997306	2.243232	29.5
78	3.0	-2.9997349	2.2427955	29.5
78	3.1	-2.99974	2.2423716	29.5
78	3.2	-2.999745	2.2419622	29.5
78	3.3	-2.9997501	2.2415593	29.5
78	3.4	-2.9997559	2.241146	29.5
78	3.5	-2.9997602	2.2407339	29.5
78	3.6	-2.999763	2.2403595	29.5
78	3.7	-2.9997668	2.2399697	29.5
78	3.8	-2.9997697	2.2395935	29.5
78	3.9	-2.999774	2.239186	29.5
78	4.0	-2.9997783	2.2388096	29.5
78	4.1	-2.9997828	2.2384577	29.5
78	4.2	-2.9997857	2.238087	29.5
78	4.3	-2.9997878	2.2377388	29.5
78	4.4	-2.99979	2.2373333	29.5
78	4.5	-2.9997916	2.2370124	29.5
78	4.6	-2.9997945	2.2366629	29.5
78	4.7	-2.999796	2.2362986	29.5
78	4.8	-2.9997966	2.2359734	29.5
78	4.9	-2.9997988	2.2356513	29.5
78	5.0	-2.9997995	2.2353253	29.5
78	5.1	-2.999801	2.234962	29.5
78	5.2	-2.9998024	2.234641	29.5
78	5.3	-2.9998038	2.2342985	29.5
78	5.4	-2.9998052	2.2339985	29.5
78	5.5	-2.9998052	2.2336853	29.5
78	5.6	-2.9998052	2.2333486	29.5
78	5.7	-2.999806	2.2330415	29.5
78	5.8	-2.9998074	2.232751	29.5
78	5.9	-2.9998088	2.232448	29.5
78	6.0	-2.9998105	2.2321332	29.5
78	6.1	-2.9998112	2.2318413	29.5
78	6.2	-2.9998126	2.2315483	29.5
78	6.3	-2.9998126	2.2312613	29.5
78	6.4	-2.9998116	2.2309203	29.5
78	6.5	-2.9998116	2.2306721	29.5
78	6.6	-2.999814	2.230396	29.5
78	6.7	-2.999817	2.2300744	29.5
78	6.8	-2.9998183	2.2298057	29.5
78	6.9	-2.999817	2.2295387	29.5
78	7.0	-2.999817	2.2292304	29.5
78	7.1	-2.999817	2.2289574	29.5
78	7.2	-2.9998176	2.2287097	29.7
78	7.3	-2.9998176	2.2284262	29.7
78	7.4	-2.9998176	2.2281513	29.7
78	7.5	-2.9998183	2.227871	29.7
78	7.6	-2.9998183	2.2276058	29.7
78	7.7	-2.9998183	2.2273307	29.7
78	7.8	-2.999819	2.2270875	29.7
78	7.9	-2.9998198	2.226846	29.7
78	8.0	-2.9998205	2.2265856	29.7
78	8.1	-2.9998226	2.2263281	29.5
78	8.2	-2.999824	2.2260756	29.5
78	8.3	-2.999824	2.2258258	29.5
78	8.4	-2.999824	2.2255545	29.5
78	8.5	-2.9998233	2.2253025	29.5
78	8.6	-2.9998233	2.2250524	29.5
78	8.7	-2.999824	2.224821	29.5
78	8.8	-2.999825	2.2245753	29.5
78	8.9	-2.9998257	2.2243452	29.5
78	9.0	-2.9998264	2.2241085	29.5
78	9.1	-2.9998271	2.2238576	29.5
78	9.2	-2.9998279	2.2235992	29.5
78	9.3	-2.9998286	2.2233877	29.5
78	9.4	-2.9998286	2.2231293	29.5
78	9.5	-2.9998286	2.2229097	29.5
78	9.6	-2.9998286	2.222666	29.5
78	9.7	-2.9998286	2.222413	29.5
78	9.8	-2.9998293	2.2222106	29.5
78	9.9	-2.9998293	2.2219534	29.5
78	10.0	-2.99983	2.2217245	29.5
78	10.1	-2.9998314	2.2214952	29.5
78	10.2	-2.999832	2.2212703	29.5
78	10.3	-2.999832	2.2210972	29.5
78	10.4	-2.9998336	2.220834	29.5
78	10.5	-2.999835	2.2206233	29.5
