Step	Time	I	E	T
66	0.0	-2.9978318	2.271913	26.2
66	0.1	-2.9978318	2.271913	26.2
66	0.2	-2.9981792	2.269212	26.2
66	0.3	-2.9986994	2.267886	26.2
66	0.4	-2.9989784	2.2657175	26.3
66	0.5	-2.9991477	2.2642481	26.3
66	0.6	-2.9992654	2.2630727	26.3
66	0.7	-2.9993534	2.2620456	26.3
66	0.8	-2.999418	2.2611334	26.3
66	0.9	-2.999468	2.2602262	26.3
66	1.0	-2.9995065	2.259459	26.3
66	1.1	-2.999538	2.2586484	26.3
66	1.2	-2.999564	2.2579515	26.3
66	1.3	-2.9995909	2.2572594	26.3
66	1.4	-2.9996135	2.256586	26.3
66	1.5	-2.9996324	2.255932	26.3
66	1.6	-2.9996483	2.2553294	26.3
66	1.7	-2.9996614	2.2547374	26.3
66	1.8	-2.9996731	2.2541132	26.3
66	1.9	-2.9996839	2.2535467	26.3
66	2.0	-2.9996934	2.2530324	26.3
66	2.1	-2.9997013	2.252488	26.3
66	2.2	-2.9997098	2.2519479	26.3
66	2.3	-2.9997196	2.2514396	26.3
66	2.4	-2.9997282	2.2509382	26.3
66	2.5	-2.999737	2.2504716	26.3
66	2.6	-2.9997456	2.2499647	26.3
66	2.7	-2.9997537	2.2494705	26.3
66	2.8	-2.9997602	2.249028	26.3
66	2.9	-2.9997668	2.2485437	26.3
66	3.0	-2.999774	2.248107	26.3
66	3.1	-2.999782	2.2476609	26.3
66	3.2	-2.99979	2.247235	26.3
66	3.3	-2.999798	2.2468078	26.3
66	3.4	-2.9998052	2.2464056	26.3
66	3.5	-2.9998116	2.2459464	26.3
66	3.6	-2.9998183	2.2455585	26.3
66	3.7	-2.9998233	2.2451444	26.3
66	3.8	-2.9998279	2.2447283	26.3
66	3.9	-2.9998329	2.2443256	26.3
66	4.0	-2.9998372	2.2439482	26.3
66	4.1	-2.999841	2.2435842	26.3
66	4.2	-2.999846	2.2432017	26.3
66	4.3	-2.9998503	2.2428317	26.3
66	4.4	-2.9998538	2.242428	26.3
66	4.5	-2.9998577	2.242093	26.3
66	4.6	-2.9998598	2.241707	26.3
66	4.7	-2.9998634	2.2413325	26.3
66	4.8	-2.9998677	2.2410076	26.3
66	4.9	-2.9998727	2.2406907	26.3
66	5.0	-2.9998765	2.2403371	26.3
66	5.1	-2.9998808	2.239972	26.3
66	5.2	-2.999885	2.2396379	26.3
66	5.3	-2.9998896	2.2393193	26.3
66	5.4	-2.999893	2.238987	26.3
