Step	Time	I	E	T
54	0.0	-2.9977818	2.3082187	26.5
54	0.1	-2.9977818	2.3082187	26.5
54	0.2	-2.9981632	2.305684	26.5
54	0.3	-2.9987118	2.3045034	26.5
54	0.4	-2.999004	2.3024108	26.5
54	0.5	-2.9991753	2.3009915	26.5
54	0.6	-2.999291	2.2998173	26.5
54	0.7	-2.999378	2.2987797	26.5
54	0.8	-2.9994419	2.2978384	26.5
54	0.9	-2.9994907	2.2970338	26.5
54	1.0	-2.9995291	2.2962084	26.5
54	1.1	-2.9995604	2.2954402	26.5
54	1.2	-2.9995866	2.2947462	26.5
54	1.3	-2.9996104	2.2940595	26.5
54	1.4	-2.999631	2.2934353	26.5
54	1.5	-2.9996498	2.2927892	26.5
54	1.6	-2.9996665	2.2921917	26.5
54	1.7	-2.999681	2.2915673	26.5
54	1.8	-2.999692	2.2910237	26.5
54	1.9	-2.9997013	2.2904124	26.5
54	2.0	-2.9997094	2.289878	26.5
54	2.1	-2.9997182	2.2893414	26.5
54	2.2	-2.9997268	2.2888086	26.5
54	2.3	-2.9997349	2.2883146	26.5
54	2.4	-2.9997435	2.2878282	26.5
54	2.5	-2.9997516	2.2873428	26.5
54	2.6	-2.9997587	2.2868643	26.5
54	2.7	-2.999766	2.2864037	26.5
54	2.8	-2.9997733	2.2859168	26.5
54	2.9	-2.99978	2.2854948	26.5
54	3.0	-2.9997857	2.2850618	26.5
54	3.1	-2.999792	2.2845867	26.5
54	3.2	-2.999796	2.2841845	26.5
54	3.3	-2.9998002	2.2837467	26.5
54	3.4	-2.9998052	2.2833374	26.5
54	3.5	-2.9998088	2.282922	26.5
54	3.6	-2.9998133	2.2825289	26.5
54	3.7	-2.9998176	2.2821572	26.5
54	3.8	-2.9998226	2.2817376	26.5
54	3.9	-2.9998279	2.281375	26.5
54	4.0	-2.9998314	2.2809806	26.5
54	4.1	-2.9998343	2.280588	26.5
54	4.2	-2.9998372	2.2802153	26.5
54	4.3	-2.9998403	2.2798321	26.5
54	4.4	-2.9998422	2.2794716	26.5
54	4.5	-2.9998446	2.2791054	26.5
54	4.6	-2.999846	2.2787592	26.5
54	4.7	-2.9998474	2.2784185	26.5
54	4.8	-2.9998496	2.2780633	26.5
54	4.9	-2.9998503	2.2777283	26.5
54	5.0	-2.999851	2.2773888	26.5
54	5.1	-2.9998517	2.277042	26.5
54	5.2	-2.9998531	2.2767038	26.5
54	5.3	-2.9998546	2.276391	26.5
54	5.4	-2.9998562	2.2760756	26.5
54	5.5	-2.9998584	2.2757437	26.5
54	5.6	-2.9998598	2.2754483	26.5
54	5.7	-2.999862	2.275085	26.5
54	5.8	-2.9998634	2.274809	26.5
54	5.9	-2.9998648	2.2744915	26.5
54	6.0	-2.9998655	2.2741752	26.5
54	6.1	-2.9998684	2.2738805	26.5
54	6.2	-2.9998715	2.2735643	26.5
54	6.3	-2.999875	2.2732525	26.5
54	6.4	-2.9998772	2.2729788	26.5
54	6.5	-2.9998794	2.2726877	26.5
54	6.6	-2.9998822	2.2723935	26.5
54	6.7	-2.9998844	2.2721064	26.5
54	6.8	-2.9998875	2.2718248	26.5
54	6.9	-2.9998896	2.2715082	26.3
