Step	Time	I	E	T
1	0.0	0.7496287	2.386098	27.2
1	10.0	0.7499868	2.3996267	27.2
1	20.0	0.7499965	2.4051125	27.0
1	30.0	0.75000703	2.4091089	27.2
1	40.0	0.75000364	2.4125466	27.2
1	50.0	0.7500023	2.4156346	27.2
1	60.0	0.74999917	2.4185936	27.2
1	70.0	0.7500093	2.421256	27.2
1	80.0	0.7499971	2.4237647	27.2
1	90.0	0.7499927	2.4261086	27.0
1	100.0	0.7499994	2.4284124	27.2
1	110.0	0.75000435	2.4305882	27.2
1	120.0	0.74998885	2.4325538	27.2
1	130.0	0.7499913	2.4345036	27.1
1	140.0	0.74998343	2.4363527	27.2
1	150.0	0.74999684	2.4380941	27.2
1	160.0	0.75000495	2.4398198	27.2
1	170.0	0.7499995	2.4414082	27.2
1	180.0	0.75000376	2.4429278	27.2
1	190.0	0.75000715	2.4444222	27.2
1	200.0	0.75000906	2.4458349	27.2
1	210.0	0.7500053	2.4472106	27.2
1	220.0	0.75	2.448546	27.2
1	230.0	0.74999845	2.4498394	27.2
1	240.0	0.74999976	2.4510193	27.4
1	250.0	0.7500045	2.452226	27.3
1	260.0	0.7499988	2.4533513	27.3
1	270.0	0.7499937	2.4544876	27.3
1	280.0	0.74998933	2.4555438	27.3
1	290.0	0.7499931	2.4565942	27.3
1	300.0	0.74998194	2.4575696	27.3
1	310.0	0.7499865	2.4585764	27.3
1	320.0	0.7499874	2.4595678	27.3
1	330.0	0.7499908	2.4605165	27.3
1	340.0	0.74998266	2.4614456	27.4
1	350.0	0.74998146	2.46233	27.4
1	360.0	0.74998367	2.4632106	27.4
1	370.0	0.74999696	2.464076	27.4
1	380.0	0.75000155	2.4649436	27.2
1	390.0	0.74999696	2.465738	27.3
1	400.0	0.7499817	2.4665275	27.2
1	410.0	0.74998945	2.46737	27.3
1	420.0	0.74999434	2.468206	27.2
1	430.0	0.7500067	2.4689767	27.4
1	440.0	0.7499989	2.4697235	27.1
1	450.0	0.7500094	2.4705117	27.2
1	460.0	0.7499979	2.4712486	27.4
1	470.0	0.7499971	2.471953	27.4
1	480.0	0.7499961	2.4727414	27.5
1	490.0	0.74999803	2.4734328	27.5
1	500.0	0.74999917	2.4741411	27.5
1	510.0	0.74999964	2.4748387	27.3
1	520.0	0.7499778	2.4754963	27.3
1	530.0	0.7499764	2.476225	27.5
1	540.0	0.74998695	2.476849	27.3
1	550.0	0.74998194	2.4775312	27.3
1	560.0	0.74999577	2.4782345	27.5
1	570.0	0.7499954	2.4789119	27.4
1	580.0	0.7499979	2.479549	27.4
1	590.0	0.74999803	2.4802415	27.4
1	600.0	0.7499845	2.4808462	27.4
1	610.0	0.74997467	2.4814787	27.3
1	620.0	0.74998206	2.482169	27.4
1	630.0	0.7499872	2.482804	27.2
1	640.0	0.7499793	2.4834394	27.4
1	650.0	0.7499771	2.4840214	27.4
1	660.0	0.7499818	2.4847295	27.2
1	670.0	0.7500006	2.485383	27.2
1	680.0	0.7500012	2.4860268	27.5
1	690.0	0.74998814	2.4866123	27.3
