Step	Time	I	E	T
90	0.0	-2.9976597	2.2593477	28.5
90	0.1	-2.9976597	2.2593477	28.5
90	0.2	-2.998071	2.2568972	28.5
90	0.3	-2.998682	2.2557378	28.5
90	0.4	-2.998993	2.2537284	28.5
90	0.5	-2.9991796	2.2523692	28.5
90	0.6	-2.9993002	2.2512255	28.5
90	0.7	-2.9993844	2.2502246	28.5
90	0.8	-2.9994485	2.2493412	28.5
90	0.9	-2.9995	2.2485108	28.5
90	1.0	-2.999543	2.247716	28.5
90	1.1	-2.9995785	2.2469943	28.4
90	1.2	-2.9996085	2.2462814	28.4
90	1.3	-2.9996338	2.2456267	28.4
90	1.4	-2.9996548	2.2449772	28.4
90	1.5	-2.9996731	2.2443383	28.4
90	1.6	-2.999689	2.243713	28.4
90	1.7	-2.999705	2.243119	28.4
90	1.8	-2.999719	2.2425745	28.4
90	1.9	-2.9997306	2.2419744	28.4
90	2.0	-2.9997413	2.241448	28.4
90	2.1	-2.9997516	2.2408888	28.2
90	2.2	-2.9997616	2.2403827	28.2
90	2.3	-2.9997718	2.2398593	28.4
90	2.4	-2.999782	2.2393835	28.4
90	2.5	-2.9997907	2.2388859	28.4
90	2.6	-2.9997988	2.2384038	28.4
90	2.7	-2.9998066	2.2379231	28.4
90	2.8	-2.999814	2.2374206	28.4
90	2.9	-2.9998205	2.2369962	28.4
90	3.0	-2.9998271	2.2365181	28.4
90	3.1	-2.9998329	2.2360709	28.4
90	3.2	-2.9998379	2.2356324	28.4
90	3.3	-2.9998431	2.2351959	28.4
90	3.4	-2.9998474	2.2347598	28.4
90	3.5	-2.9998517	2.2343688	28.4
90	3.6	-2.9998562	2.2339485	28.4
90	3.7	-2.9998584	2.2335036	28.4
90	3.8	-2.9998605	2.233125	28.4
90	3.9	-2.9998634	2.2327309	28.4
90	4.0	-2.9998662	2.2323241	28.4
90	4.1	-2.999869	2.2319415	28.4
90	4.2	-2.9998736	2.2315571	28.4
90	4.3	-2.9998765	2.231176	28.4
90	4.4	-2.99988	2.2307992	28.4
90	4.5	-2.9998832	2.2304494	28.4
90	4.6	-2.999886	2.2300599	28.4
90	4.7	-2.999889	2.2296917	28.5
90	4.8	-2.9998918	2.2293193	28.5
90	4.9	-2.999894	2.2289777	28.5
90	5.0	-2.9998953	2.2286	28.5
90	5.1	-2.999896	2.2282555	28.5
90	5.2	-2.9998975	2.2279437	28.5
90	5.3	-2.999899	2.2275653	28.5
90	5.4	-2.999902	2.22724	28.5
90	5.5	-2.9999056	2.2269132	28.5
90	5.6	-2.9999077	2.2265892	28.5
90	5.7	-2.9999092	2.2262487	28.5
90	5.8	-2.9999099	2.2259147	28.5
90	5.9	-2.999912	2.2256076	28.5
90	6.0	-2.999915	2.225317	28.5
90	6.1	-2.9999173	2.224976	28.5
90	6.2	-2.9999201	2.2246633	28.5
90	6.3	-2.999924	2.2243507	28.5
90	6.4	-2.9999259	2.224032	28.5
90	6.5	-2.9999259	2.2237315	28.5
90	6.6	-2.9999266	2.2234085	28.5
90	6.7	-2.9999273	2.2231276	28.5
90	6.8	-2.999928	2.2228107	28.5
90	6.9	-2.9999287	2.2225382	28.5
90	7.0	-2.9999309	2.2222657	28.5
90	7.1	-2.9999332	2.2219417	28.5
90	7.2	-2.9999337	2.2216148	28.5
90	7.3	-2.9999337	2.2213824	28.5
90	7.4	-2.9999337	2.2210596	28.5
90	7.5	-2.9999354	2.2208054	28.5
90	7.6	-2.9999354	2.2205136	28.5
90	7.7	-2.9999354	2.2202356	28.5
90	7.8	-2.9999354	2.2199426	28.5
90	7.9	-2.999936	2.2197251	28.5
90	8.0	-2.9999375	2.2194097	28.5
90	8.1	-2.9999375	2.2191734	28.5
90	8.2	-2.9999375	2.2188923	28.5
90	8.3	-2.9999382	2.2186048	28.5
90	8.4	-2.999939	2.2183845	28.5
90	8.5	-2.9999397	2.2181222	28.5
90	8.6	-2.9999404	2.2178452	28.5
90	8.7	-2.9999418	2.2175846	28.5
90	8.8	-2.9999433	2.217339	28.5
90	8.9	-2.9999447	2.2170532	28.5
90	9.0	-2.999947	2.216826	28.5
90	9.1	-2.99995	2.2165644	28.5
90	9.2	-2.99995	2.216266	28.5
90	9.3	-2.9999492	2.2160287	28.5
90	9.4	-2.9999478	2.2158003	28.5
90	9.5	-2.9999447	2.2155442	28.5
90	9.6	-2.9999433	2.215319	28.5
90	9.7	-2.9999442	2.2150457	28.5
90	9.8	-2.9999442	2.2148108	28.5
90	9.9	-2.9999442	2.2145915	28.5
90	10.0	-2.9999442	2.214326	28.5
90	10.1	-2.9999433	2.2141056	28.5
90	10.2	-2.9999442	2.2138376	28.5
90	10.3	-2.9999454	2.2136405	28.5
90	10.4	-2.9999447	2.2134006	28.5
90	10.5	-2.9999433	2.2131457	28.5
90	10.6	-2.9999425	2.2129385	28.5
90	10.7	-2.9999418	2.2127097	28.5
90	10.8	-2.9999425	2.2124836	28.5
90	10.9	-2.9999433	2.2122502	28.5
90	11.0	-2.9999425	2.2120218	28.5
90	11.1	-2.9999425	2.2118196	28.5
90	11.2	-2.9999442	2.211584	28.5
