Step	Time	I	E	T
96	0.0	-2.9975955	2.2564492	28.7
96	0.1	-2.9975955	2.2564492	28.7
96	0.2	-2.997994	2.253991	28.7
96	0.3	-2.998572	2.252782	28.7
96	0.4	-2.9988737	2.2506883	28.7
96	0.5	-2.9990592	2.24933	28.7
96	0.6	-2.9991817	2.2481742	28.7
96	0.7	-2.9992676	2.24713	28.7
96	0.8	-2.9993339	2.246237	28.7
96	0.9	-2.9993875	2.2453878	28.7
96	1.0	-2.999429	2.2446134	28.7
96	1.1	-2.9994645	2.2438667	28.7
96	1.2	-2.999493	2.2431304	28.7
96	1.3	-2.999516	2.2424874	28.7
96	1.4	-2.9995358	2.2417934	28.7
96	1.5	-2.9995525	2.2411597	28.7
96	1.6	-2.9995675	2.2405381	28.7
96	1.7	-2.99958	2.239925	28.7
96	1.8	-2.999593	2.23936	28.7
96	1.9	-2.9996047	2.2387714	28.7
96	2.0	-2.999617	2.2382314	28.7
96	2.1	-2.9996295	2.23771	28.7
96	2.2	-2.9996395	2.23714	28.7
96	2.3	-2.9996488	2.236628	28.7
96	2.4	-2.9996586	2.2361114	28.7
96	2.5	-2.9996665	2.235604	28.7
96	2.6	-2.9996738	2.2351267	28.7
96	2.7	-2.999681	2.234613	28.7
96	2.8	-2.9996877	2.2341561	28.7
96	2.9	-2.9996948	2.2336602	28.7
96	3.0	-2.9997013	2.2332041	28.7
96	3.1	-2.999708	2.2327797	28.7
96	3.2	-2.9997144	2.232307	28.7
96	3.3	-2.999721	2.231906	28.7
96	3.4	-2.999726	2.2314355	28.7
96	3.5	-2.9997318	2.2310283	28.7
96	3.6	-2.999737	2.230586	28.7
96	3.7	-2.9997408	2.2301757	28.7
96	3.8	-2.9997435	2.2297704	28.7
96	3.9	-2.9997478	2.2293448	28.7
96	4.0	-2.9997523	2.2289736	28.7
96	4.1	-2.9997559	2.2285771	28.7
96	4.2	-2.9997594	2.228184	28.7
96	4.3	-2.9997623	2.227785	28.7
96	4.4	-2.999766	2.227409	28.7
96	4.5	-2.9997697	2.2270207	28.7
96	4.6	-2.9997725	2.2266624	28.7
96	4.7	-2.9997761	2.22629	28.7
96	4.8	-2.9997783	2.2259278	28.7
96	4.9	-2.9997807	2.225569	28.7
96	5.0	-2.999782	2.2252114	28.7
96	5.1	-2.9997835	2.2248573	28.7
96	5.2	-2.999785	2.2244637	28.7
96	5.3	-2.9997864	2.2241368	28.7
96	5.4	-2.9997878	2.223817	28.7
96	5.5	-2.9997892	2.2234938	28.7
96	5.6	-2.999792	2.2231245	28.7
96	5.7	-2.9997952	2.2227817	28.7
96	5.8	-2.9997966	2.2224543	28.7
96	5.9	-2.9997988	2.2220957	28.5
96	6.0	-2.999801	2.2217698	28.5
96	6.1	-2.9998024	2.2214775	28.5
96	6.2	-2.999803	2.2211561	28.5
96	6.3	-2.9998045	2.2208138	28.5
96	6.4	-2.9998066	2.2204845	28.7
96	6.5	-2.999808	2.2202387	28.7
96	6.6	-2.9998116	2.2199202	28.7
96	6.7	-2.9998147	2.219575	28.7
96	6.8	-2.9998176	2.2193267	28.5
96	6.9	-2.9998198	2.2190063	28.5
96	7.0	-2.9998205	2.2186995	28.5
96	7.1	-2.9998226	2.2183943	28.5
96	7.2	-2.999825	2.2181096	28.5
96	7.3	-2.9998271	2.2178147	28.5
96	7.4	-2.9998279	2.2175248	28.5
96	7.5	-2.9998293	2.2172468	28.5
96	7.6	-2.99983	2.216953	28.5
96	7.7	-2.9998314	2.2166545	28.5
96	7.8	-2.9998343	2.2163572	28.5
96	7.9	-2.9998379	2.2160897	28.5
96	8.0	-2.9998403	2.215825	28.5
96	8.1	-2.999841	2.2155344	28.5
96	8.2	-2.999841	2.2152472	28.5
96	8.3	-2.999841	2.214989	28.7
96	8.4	-2.9998422	2.214709	28.7
96	8.5	-2.9998431	2.214431	28.7
96	8.6	-2.9998431	2.2141986	28.7
96	8.7	-2.9998438	2.2139263	28.7
96	8.8	-2.9998446	2.2136319	28.7
96	8.9	-2.9998446	2.2133782	28.7
96	9.0	-2.9998446	2.213119	28.7
96	9.1	-2.9998438	2.2128804	28.7
96	9.2	-2.9998422	2.2125947	28.7
96	9.3	-2.9998417	2.2123446	28.7
96	9.4	-2.999841	2.2120905	28.7
96	9.5	-2.9998403	2.2118535	28.7
96	9.6	-2.999841	2.2116277	28.7
96	9.7	-2.999841	2.2113461	28.7
96	9.8	-2.999841	2.2111197	28.7
96	9.9	-2.999841	2.2108424	28.7
96	10.0	-2.9998417	2.2106037	28.7
96	10.1	-2.9998422	2.2103918	28.7
96	10.2	-2.9998422	2.2101247	28.7
96	10.3	-2.9998422	2.2098699	28.7
96	10.4	-2.9998438	2.2096586	28.7
96	10.5	-2.9998446	2.2093825	28.7
96	10.6	-2.9998453	2.2091541	28.7
96	10.7	-2.9998453	2.208917	28.7
96	10.8	-2.9998446	2.2087097	28.7
96	10.9	-2.9998453	2.2084548	28.7
96	11.0	-2.9998474	2.2082264	28.7
96	11.1	-2.9998488	2.208011	28.7
96	11.2	-2.9998503	2.2077856	28.7
96	11.3	-2.9998517	2.2075403	28.7
96	11.4	-2.9998517	2.2072868	28.7
96	11.5	-2.999851	2.207082	28.7
96	11.6	-2.999851	2.2068665	28.7
96	11.7	-2.9998527	2.2066336	28.7
96	11.8	-2.9998555	2.206428	28.7
96	11.9	-2.999857	2.2062035	28.7
96	12.0	-2.9998584	2.205969	28.7
96	12.1	-2.9998605	2.2057688	28.7
96	12.2	-2.9998612	2.2055562	28.7
96	12.3	-2.999862	2.205341	28.7
96	12.4	-2.999863	2.2051256	28.7
96	12.5	-2.999863	2.2048776	28.7
96	12.6	-2.9998648	2.2046807	28.7
96	12.7	-2.9998662	2.204473	28.7
96	12.8	-2.9998662	2.204263	28.7
96	12.9	-2.9998655	2.204071	28.7
96	13.0	-2.9998662	2.2038355	28.7
96	13.1	-2.999867	2.2036138	28.7
96	13.2	-2.9998684	2.2034163	28.7
96	13.3	-2.999869	2.2032154	28.7
96	13.4	-2.9998698	2.2029772	28.7
96	13.5	-2.9998715	2.2027926	28.7
96	13.6	-2.9998715	2.2025723	28.7
96	13.7	-2.9998715	2.202358	28.7
96	13.8	-2.9998698	2.2021701	28.7
96	13.9	-2.999869	2.201985	28.7
96	14.0	-2.9998698	2.2017791	28.7
96	14.1	-2.9998708	2.2015884	28.7
96	14.2	-2.9998736	2.2013783	28.7
96	14.3	-2.9998758	2.2011776	28.7
96	14.4	-2.9998772	2.2009943	28.7
96	14.5	-2.9998772	2.200778	28.7
96	14.6	-2.9998786	2.2005987	28.7
96	14.7	-2.9998794	2.200396	28.7
96	14.8	-2.99988	2.2002108	28.7
96	14.9	-2.99988	2.2000165	28.7
96	15.0	-2.9998822	2.1998165	28.7
96	15.1	-2.9998832	2.1996338	28.7
96	15.2	-2.9998844	2.1994236	28.7
96	15.3	-2.9998868	2.19924	28.7
96	15.4	-2.9998875	2.1990507	28.7
96	15.5	-2.9998875	2.198884	28.7
96	15.6	-2.9998875	2.1986897	28.7
96	15.7	-2.9998868	2.1984804	28.7
96	15.8	-2.999886	2.19831	28.7
96	15.9	-2.999886	2.1981375	28.7
96	16.0	-2.9998868	2.1979172	28.7
96	16.1	-2.999886	2.1977446	28.7
96	16.2	-2.9998868	2.19753	28.7
96	16.3	-2.9998875	2.1973674	28.7
96	16.4	-2.9998868	2.1971877	28.7
96	16.5	-2.9998882	2.1970181	28.7
96	16.6	-2.9998903	2.1968467	28.5
96	16.7	-2.999891	2.1966774	28.5
96	16.8	-2.9998896	2.1964805	28.5
96	16.9	-2.999889	2.1963344	28.5
96	17.0	-2.9998882	2.196114	28.5
96	17.1	-2.9998875	2.1959383	28.5
96	17.2	-2.9998875	2.195781	28.5
96	17.3	-2.9998875	2.19559	28.7
96	17.4	-2.9998868	2.1954181	28.7
96	17.5	-2.999886	2.1952138	28.7
96	17.6	-2.999886	2.1950257	28.7
96	17.7	-2.999886	2.1948915	28.7
96	17.8	-2.999886	2.1947134	28.7
96	17.9	-2.999885	2.1945388	28.7
96	18.0	-2.999886	2.194352	28.7
96	18.1	-2.999886	2.194194	28.7
96	18.2	-2.9998844	2.1940124	28.7
96	18.3	-2.9998832	2.193847	28.7
96	18.4	-2.9998822	2.1936646	28.7
96	18.5	-2.9998808	2.1934946	28.7
